,video,video_condition,im_condition,pred_val,word_start,word_end,resp_exp_fear,rt_exp_fear,resp_current_anxiety,rt_current_anxiety,video_start,video_end,resp_fear,resp_anxiety,resp_arousal,resp_valence,rt_fear,rt_anxiety,rt_arousal,rt_valence,participant_num,video_hp,video_scr,base_ECG,base_scr,trial_num,Unnamed: 26
2392,heights_high_4.m4v,1,2,1,1089.908,1092.908,0.417,3.27,0.115,5.339,1110.264,1130.573,0.622,0.6,0.597,0.457,2.87,0.968,5.89,3.404,185,0.791,0,0.773,0.017,19,
2393,heights_low_4.m4v,1,1,1,1153.195,1156.195,0.442,9.244,0.063,1.852,1176.037,1197.063,0.407,0.583,0.539,0.49,38.042,2.269,2.036,4.689,185,0.734,0.1,0.773,0.017,20,
2394,spider_high_3.mov,3,2,2,1253.59,1256.59,1,56.146,0.072,1.652,1318.128,1338.267,1,1,1,0,12.814,0.751,0.835,0.551,185,,0.219,0.773,0.017,21,
2395,spider_high_2.m4v,3,2,1,1362.71,1365.711,1,4.989,0.477,2.937,1379.379,1399.438,0.916,0.971,0.943,0,4.872,3.254,1.802,1.101,185,,0.11,0.773,0.017,22,
2396,spider_low_3.m4v,3,1,1,1419.957,1422.958,1,1.118,0.369,2.036,1429.851,1450.511,0.861,0.649,0.655,0.166,11.346,3.754,1.969,1.535,185,0.827,0.104,0.773,0.017,23,
2397,heights_high_6.mov,1,2,2,1478.606,1481.606,0.542,7.358,0.132,2.052,1499.762,1520.235,0.627,0.735,0.84,0.252,3.805,0.801,1.168,1.101,185,0.84,0,0.773,0.017,24,
2398,spider_low_6.m4v,3,1,2,1613.188,1616.188,1,11.78,0.151,1.502,1634.211,1654.72,0.74,0.793,0.783,0.038,13.432,1.101,1.485,1.402,185,,0,0.773,0.017,25,
2399,spider_high_4.m4v,3,2,1,1681.631,1684.631,0.991,5.306,0.125,1.619,1695.296,1715.771,1,1,1,0,5.389,0.768,1.068,0.534,185,,0.106,0.773,0.017,26,
2400,heights_high_2.mov,1,2,2,1733.021,1736.021,0.339,6.44,0.248,1.786,1752.993,1773.867,0.67,0.675,0.689,0.279,3.003,1.085,1.518,0.935,185,,0,0.773,0.017,27,
2401,heights_high_5.mov,1,2,1,1789.901,1792.901,0.515,19.972,0.097,2.386,1824.005,1844.011,0.436,0.608,0.575,0.387,9.661,0.951,1.535,1.852,185,0.725,0,0.773,0.017,28,
2402,heights_low_1.m4v,1,1,1,1867.503,1870.504,0.552,5.289,0.118,8.793,1893.332,1914.34,0.058,0.038,0.273,0.702,20.223,1.135,1.669,1.852,185,,0,0.773,0.017,29,
2403,social_low_3.m4v,2,1,2,1948.71,1951.71,0.423,25.078,0.075,1.685,1982.214,2002.371,0.046,0.063,0.52,0.631,4.222,1.469,2.386,3.754,185,0.898,0,0.773,0.017,30,
2404,social_high_2.mov,2,2,1,2023.693,2026.693,0.41,1.235,0.077,0.968,2034.638,2055.612,0.388,0.595,0.83,0.272,4.705,1.685,1.886,2.286,185,0.926,0,0.773,0.017,31,
2405,social_low_4.m4v,2,1,1,2075.667,2078.668,0.372,3.738,0.097,1.752,2087.898,2108.623,0.071,0.157,0.386,0.479,4.539,1.035,1.986,3.287,185,0.861,0,0.773,0.017,32,
2406,spider_low_1.m4v,3,1,2,2128.96,2131.96,1,12.347,0.081,1.952,2150,2170.241,0.917,0.782,0.709,0.172,4.922,1.368,2.269,2.019,185,0.865,0.108,0.773,0.017,33,
2407,spider_high_5.m4v,3,2,1,2190.311,2193.312,1,2.052,0.205,2.086,2203.192,2223.684,1,1,1,0,2.536,0.568,0.901,0.984,185,0.776,0,0.773,0.017,34,
